Nom,URL fiche,Adresse,Téléphone,Site Web,Image,Catégorie,Fichier image
Planet pizza,https://www.menton-riviera-merveilles.fr/offres/restaurant-planet-pizza-beausoleil-fr-3270183/,"3 bd des Moneghetti, 06240 Beausoleil",04 93 57 92 50,,,Cuisine Italienne,images/Planet_pizza.jpg
Le Saint Yves,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-saint-yves-sainte-agnes-fr-3051325/,"76 rue des Sarrasins, 06500 Sainte-Agnès",04 93 35 91 45,,,Cuisine orientale,images/Le_Saint_Yves.jpg
Taxi Pizza La Turbie,https://www.menton-riviera-merveilles.fr/offres/taxi-pizza-la-turbie-la-turbie-fr-3051836/,"4 avenue de la Victoire, 06320 La Turbie",04 93 41 05 06,http://www.taxi-pizza.fr,,Food truck,images/Taxi_Pizza_La_Turbie.jpg
Snack/crêperie La Gourmandine,https://www.menton-riviera-merveilles.fr/offres/snack-creperie-la-gourmandine-menton-fr-4307664/,"1360 promenade du Soleil, 06500 Menton",,,,Crêperie,images/Snack/crêperie_La_Gourmandine.jpg
Le Cosy,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-cosy-menton-fr-3051937/,"5 rue Edouard Sicardi, 06500 Menton",04 93 35 52 17,,,Brasserie,images/Le_Cosy.jpg
L'Embuscade,https://www.menton-riviera-merveilles.fr/offres/restaurant-lembuscade-menton-fr-3051750/,"Route des Ciappes, Plateau Saint Michel, 06500 Menton",,,,Pizzeria,images/L'Embuscade.jpg
La Béoua d'Afi,https://www.menton-riviera-merveilles.fr/offres/restaurant-la-beoua-dafi-sospel-fr-3051332/,"Rue Saint-Joseph, 06380 Sospel",09 54 96 99 07,,,Poisson,images/La_Béoua_d'Afi.jpg
Loulou Pirate Roquebrune,https://www.menton-riviera-merveilles.fr/offres/loulou-pirate-roquebrune-roquebrune-cap-martin-fr-4314249/,"46 avenue Winston Churchill, 06190 Roquebrune-Cap-Martin",04 12 05 00 90,https://www.loulou-pirate.com/,,Traditionnel,images/Loulou_Pirate_Roquebrune.jpg
Bar Le Biancheri,https://www.menton-riviera-merveilles.fr/offres/restaurant-bar-le-biancheri-breil-sur-roya-fr-3381890/,"5 place Biancheri, 06540 Breil-sur-Roya",04 93 04 40 11,,,Brasserie,images/Bar_Le_Biancheri.jpg
Snack coréen Little Bao,https://www.menton-riviera-merveilles.fr/offres/snack-coreen-little-bao-menton-fr-3276759/,"2 rue Palmaro, 06500 Menton",06 40 65 07 92,https://www.ubereats.com/fr/store/little-bao/cPT0rwUnSqqL3RorWtc0kA,,Cuisine asiatique,images/Snack_coréen_Little_Bao.jpg
Les Mélèzes,https://www.menton-riviera-merveilles.fr/offres/restaurant-les-melezes-tende-fr-3261686/,"Hameau de Castérino, 06430 Tende",04 93 04 95 95,,,Traditionnel,images/Les_Mélèzes.jpg
